category	series_slug	raw_title	product_id	product_code	product_slug	url
tablet-smalllight		LAVIE Tab T12発表記念セット (PC-TAB12Q01+ガラス保護フィルム)	NSLCB168T2QZ1S	10011513	nslcb168t2qz1s	https://cart.nec-lavie.jp/cart/config.html?materialNumber=NSLCB168T2QZ1S
all-entry	n16	N16 (ホワイト) インターネットやメールに最適なコストパフォーマンスモデル	PC-GE123AC5YAD3HVYAA	10010329	pc-ge123ac5yad3hvyaa	https://www.nec-lavie.jp/products/notebook/n16/
all-entry	n15	N15 (標準ソフト) インターネットやメールに最適なコストパフォーマンスモデル	PC-GE123AD5YAD3HVYAA	10010341	pc-ge123ad5yad3hvyaa	https://www.nec-lavie.jp/products/notebook/n15/
all-entry	n15	N15 (ミニマムソフト) インターネットやメールに最適なコストパフォーマンスモデル	PC-GE123AD6YAD3HVYAA	10010883	pc-ge123ad6yad3hvyaa	https://www.nec-lavie.jp/products/notebook/n15/
all-entry	n16	N16 (ブラック) アプリの操作が快適なおすすめモデル	PC-GE123BC5YAD3HVYAA	10010332	pc-ge123bc5yad3hvyaa	https://www.nec-lavie.jp/products/notebook/n16/
all-entry	n16	N16 (グリーン) インターネットやメールに最適なコストパフォーマンスモデル	PC-GE123CC5YAD3HVYAA	10010667	pc-ge123cc5yad3hvyaa	https://www.nec-lavie.jp/products/notebook/n16/
all-entry	n16	N16 (ブルー) インターネットやメールに最適なコストパフォーマンスモデル	PC-GE123DC5YAD3HVYAA	10010669	pc-ge123dc5yad3hvyaa	https://www.nec-lavie.jp/products/notebook/n16/
all-entry	n15	N15 (標準ソフト) U300搭載エントリーモデル	PC-GE12ZAD5YAD3HVYAA	10010340	pc-ge12zad5yad3hvyaa	https://www.nec-lavie.jp/products/notebook/n15/
all-entry	n15	N15 (ミニマムソフト) U300搭載エントリーモデル	PC-GE12ZAD6YAD3HVYAA	10010882	pc-ge12zad6yad3hvyaa	https://www.nec-lavie.jp/products/notebook/n15/
all-entry	direct-sol	SOL(シルバー)Office搭載、快適に使えるおすすめモデル	PC-GE135631YAD3H2YAA	10010355	pc-ge135631yad3h2yaa	https://www.nec-lavie.jp/products/notebook/direct-sol/
all-entry	direct-sol	SOL(シルバー)アプリの操作が快適なおすすめモデル	PC-GE135635YAD3H2YAA	10010284	pc-ge135635yad3h2yaa	https://www.nec-lavie.jp/products/notebook/direct-sol/
